Names/Year,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
SR Tendulkar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0]","[239, 239]","[417, 656]","[704, 1360]","[319, 1679]","[1089, 2768]","[444, 3212]","[1611, 4823]","[1011, 5834]","[1894, 7728]","[843, 8571]","[1328, 9899]","[904, 10803]","[741, 11544]","[1141, 12685]","[812, 13497]","[412, 13909]","[628, 14537]","[1425, 15962]","[460, 16422]","[972, 17394]","[204, 17598]","[513, 18111]","[315, 18426]",0,0,0,0,0,0,0
KC Sangakkara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[382, 382]","[264, 646]","[829, 1475]","[695, 2170]","[1010, 3180]","[746, 3926]","[1333, 5259]","[758, 6017]","[942, 6959]","[919, 7878]","[726, 8604]","[1127, 9731]","[1184, 10915]","[1201, 12116]","[1256, 13372]","[862, 14234]",0,0,0,0
RT Ponting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[196, 196]","[733, 929]","[75, 1004]","[1166, 2170]","[1038, 3208]","[510, 3718]","[828, 4546]","[882, 5428]","[1154, 6582]","[840, 7422]","[1191, 8613]","[798, 9411]","[1424, 10835]","[278, 11113]","[1198, 12311]","[771, 13082]","[604, 13686]","[18, 13704]",0,0,0,0,0,0,0
ST Jayasuriya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[40, 40]","[59, 99]","[10, 109]","[143, 252]","[347, 599]","[562, 1161]","[494, 1655]","[955, 2610]","[1178, 3788]","[661, 4449]","[674, 5123]","[910, 6033]","[1202, 7235]","[1077, 8312]","[860, 9172]","[724, 9896]","[323, 10219]","[1153, 11372]","[835, 12207]","[578, 12785]","[643, 13428]",0,"[2, 13430]",0,0,0,0,0,0,0,0
DPMD Jayawardene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[98, 98]","[744, 842]","[554, 1396]","[1260, 2656]","[791, 3447]","[313, 3760]","[676, 4436]","[522, 4958]","[1185, 6143]","[1089, 7232]","[617, 7849]","[669, 8518]","[509, 9027]","[1032, 10059]","[785, 10844]","[557, 11401]","[846, 12247]","[403, 12650]",0,0,0,0
Inzamam-ul-Haq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[80, 80]","[818, 898]","[808, 1706]","[901, 2607]","[699, 3306]","[503, 3809]","[891, 4700]","[669, 5369]","[1106, 6475]","[1074, 7549]","[646, 8195]","[743, 8938]","[418, 9356]","[911, 10267]","[874, 11141]","[450, 11591]","[148, 11739]",0,0,0,0,0,0,0,0,0,0,0,0
JH Kallis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[275, 275]","[519, 794]","[812, 1606]","[944, 2550]","[1300, 3850]","[848, 4698]","[1204, 5902]","[595, 6497]","[770, 7267]","[687, 7954]","[373, 8327]","[987, 9314]","[557, 9871]","[538, 10409]","[593, 11002]","[370, 11372]","[126, 11498]","[76, 11574]","[5, 11579]",0,0,0,0,0
SC Ganguly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[3, 3]",0,0,0,"[269, 272]","[1338, 1610]","[1328, 2938]","[1767, 4705]","[1579, 6284]","[813, 7097]","[1114, 8211]","[756, 8967]","[947, 9914]","[209, 10123]",0,"[1240, 11363]",0,0,0,0,0,0,0,0,0,0,0,0
R Dravid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[475, 475]","[951, 1426]","[283, 1709]","[1761, 3470]","[980, 4450]","[740, 5190]","[913, 6103]","[623, 6726]","[1025, 7751]","[1092, 8843]","[919, 9762]","[823, 10585]",0,"[180, 10765]",0,"[124, 10889]",0,0,0,0,0,0,0,0
V Kohli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[159, 159]","[325, 484]","[995, 1479]","[1381, 2860]","[1026, 3886]","[1268, 5154]","[1054, 6208]","[623, 6831]","[739, 7570]","[1460, 9030]","[1202, 10232]","[611, 10843]"
